Name,Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EmployeeNumber,EnvironmentSatisfaction,Gender,JobInvolvement,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,OverTime,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsSinceLastPromotion,ManagerID,TerminationDate
Thomas Martinez,33,No,Travel_Frequently,Sales,10,3,Marketing,446,2,Male,2,Sales Executive,4,Single,4682,3,No,3,3,0,6,2,7,0,1824,
Adam Fields,47,No,Travel_Rarely,Research & Development,5,5,Life Sciences,447,4,Male,3,Research Director,3,Married,18300,4,No,3,2,1,2,3,3,1,1516,
Natalie Reynolds,43,No,Travel_Frequently,Research & Development,10,4,Life Sciences,448,3,Female,2,Laboratory Technician,3,Divorced,5257,1,No,3,2,1,3,4,9,0,1644,
Johnathan Carr,27,No,Non-Travel,Sales,1,1,Marketing,449,3,Male,3,Sales Executive,2,Married,6349,0,Yes,3,4,1,0,3,5,1,1591,
Erika Jenkins,54,No,Travel_Frequently,Research & Development,20,4,Life Sciences,450,4,Female,3,Research Scientist,3,Single,4869,3,No,3,4,0,4,2,4,0,336,
Carol Travis,43,No,Travel_Rarely,Research & Development,7,3,Life Sciences,451,3,Female,3,Healthcare Representative,1,Married,9985,8,No,3,1,1,1,2,1,0,381,
Randall Thompson,45,No,Travel_Rarely,Research & Development,8,4,Other,452,4,Male,3,Research Scientist,4,Married,3697,9,No,3,1,2,3,3,10,9,546,
Michael Keith,40,No,Travel_Rarely,Sales,1,2,Medical,453,2,Male,1,Sales Executive,4,Married,7457,2,Yes,4,3,3,2,2,4,0,613,
John Scott,29,Yes,Travel_Rarely,Research & Development,8,4,Other,454,2,Male,1,Laboratory Technician,1,Married,2119,1,Yes,3,4,0,4,2,7,0,199,2021-11-26
Kevin Price,29,No,Travel_Rarely,Research & Development,9,5,Other,455,2,Male,2,Laboratory Technician,4,Single,3983,0,No,3,3,0,2,3,3,2,1306,
Samantha Hicks,30,No,Travel_Rarely,Sales,5,3,Marketing,456,4,Female,2,Sales Executive,3,Divorced,6118,1,No,3,3,3,2,3,10,1,1740,
Charlotte Reynolds,27,No,Travel_Rarely,Sales,8,4,Marketing,458,2,Female,3,Sales Executive,2,Married,6214,1,No,3,1,1,3,3,8,0,298,
Anthony Johnson,37,No,Travel_Rarely,Research & Development,5,2,Medical,460,4,Male,3,Manufacturing Director,4,Divorced,6347,7,No,3,3,2,2,2,6,0,1677,
Phillip Mitchell,38,No,Travel_Rarely,Research & Development,15,2,Life Sciences,461,3,Male,2,Research Director,4,Divorced,11510,0,Yes,3,2,1,3,3,11,2,569,
Nicole Monroe,31,No,Travel_Rarely,Research & Development,7,4,Medical,462,3,Female,3,Manufacturing Director,4,Single,7143,1,Yes,3,3,0,2,2,11,4,199,
Dawn Jackson,29,No,Travel_Rarely,Sales,10,1,Marketing,463,4,Female,2,Sales Executive,2,Divorced,8268,1,Yes,3,1,2,2,3,7,1,298,
Brian Garrison,35,No,Travel_Rarely,Research & Development,5,4,Technical Degree,464,3,Male,3,Manufacturing Director,2,Single,8095,0,No,3,4,0,5,3,16,0,1306,
Donald Horn,23,No,Travel_Rarely,Research & Development,26,1,Life Sciences,465,3,Male,3,Research Scientist,4,Divorced,2904,1,No,3,3,2,2,2,4,0,1109,
Eric Fuentes,41,No,Travel_Rarely,Research & Development,6,3,Medical,466,4,Male,2,Manufacturing Director,2,Single,6032,6,Yes,3,4,0,3,3,5,1,1191,
Christopher Brady,47,No,Travel_Frequently,Sales,4,1,Medical,467,2,Male,3,Sales Representative,3,Single,2976,3,No,3,1,0,3,3,0,0,1676,
Christina Gonzalez,42,No,Travel_Rarely,Research & Development,23,5,Life Sciences,468,1,Female,3,Research Director,4,Single,15992,2,No,3,2,0,2,3,1,0,374,
Dylan Short,29,No,Non-Travel,Sales,2,3,Life Sciences,469,4,Male,3,Sales Executive,3,Married,4649,1,No,3,1,1,3,2,4,0,298,
David Reyes,42,No,Travel_Rarely,Human Resources,2,1,Technical Degree,470,3,Male,3,Human Resources,3,Divorced,2696,0,Yes,3,3,1,5,3,3,1,1550,
Teresa Dixon,32,No,Travel_Rarely,Research & Development,2,3,Medical,471,3,Female,3,Laboratory Technician,2,Married,2370,1,No,3,3,1,4,3,8,0,253,
Sue Howard,48,No,Travel_Rarely,Sales,29,1,Medical,473,1,Female,3,Manager,3,Married,12504,3,No,4,2,1,3,1,0,0,568,
Joshua Campbell,37,No,Travel_Rarely,Research & Development,6,3,Medical,474,3,Male,4,Research Scientist,1,Divorced,5974,4,Yes,3,1,2,2,3,7,6,226,
Rachel Moore,30,No,Non-Travel,Sales,25,2,Technical Degree,475,4,Female,3,Sales Executive,3,Married,4736,7,Yes,3,2,1,2,4,2,2,323,
Micheal Atkins,26,No,Travel_Rarely,Sales,1,3,Life Sciences,476,3,Male,3,Sales Executive,3,Married,5296,1,No,3,2,1,3,3,8,7,776,
Gregory Lopez,42,No,Travel_Rarely,Research & Development,2,4,Other,477,1,Male,2,Healthcare Representative,4,Single,6781,3,No,4,2,0,6,3,1,0,809,
Sarah Meyers,21,Yes,Travel_Frequently,Sales,1,1,Technical Degree,478,1,Female,2,Sales Representative,2,Single,2174,1,Yes,3,3,0,3,3,3,1,363,2023-07-28
Linda Pham,36,No,Non-Travel,Sales,1,5,Medical,479,4,Female,3,Sales Executive,4,Single,6653,4,No,3,2,0,6,3,1,0,1938,
Brian Martin,36,No,Travel_Frequently,Sales,3,4,Medical,481,1,Male,2,Sales Executive,4,Married,9699,4,No,3,1,1,2,3,13,1,776,
Ronald Wagner,57,No,Travel_Rarely,Research & Development,1,4,Medical,482,4,Male,3,Healthcare Representative,3,Married,6755,2,No,3,3,0,2,3,3,1,1306,
Misty Vazquez,40,No,Travel_Rarely,Research & Development,10,4,Life Sciences,483,4,Female,4,Laboratory Technician,3,Married,2213,3,Yes,3,3,1,3,3,7,1,1307,
Michael Coleman,21,No,Non-Travel,Sales,9,2,Medical,484,1,Male,3,Sales Representative,4,Single,2610,1,No,4,3,0,3,2,3,2,158,
Rachel Watson,33,Yes,Travel_Rarely,Sales,5,3,Marketing,485,4,Female,3,Sales Representative,3,Single,2851,1,Yes,3,2,0,2,3,1,0,327,2024-01-15
Jacqueline Hinton,37,No,Travel_Rarely,Research & Development,10,3,Medical,486,3,Female,3,Laboratory Technician,1,Married,3452,6,No,4,2,1,3,3,5,0,820,
Melissa Roach,46,No,Non-Travel,Research & Development,7,4,Medical,487,3,Female,3,Manufacturing Director,3,Married,5258,2,No,3,3,0,2,4,1,0,1516,
Steven Watkins,41,Yes,Travel_Frequently,Sales,4,3,Marketing,488,1,Male,3,Sales Executive,2,Single,9355,1,No,3,3,0,5,3,8,7,1938,2023-10-14
Patrick Lewis,50,No,Travel_Rarely,Research & Development,10,3,Technical Degree,491,4,Male,2,Healthcare Representative,4,Single,10496,6,No,3,4,0,2,3,4,1,1201,
Scott Smith,40,Yes,Travel_Rarely,Sales,22,2,Marketing,492,3,Male,2,Sales Executive,3,Married,6380,2,Yes,3,1,2,6,3,6,1,1038,2021-12-21
Michael Reyes,31,No,Travel_Rarely,Research & Development,9,4,Life Sciences,493,3,Male,2,Research Scientist,2,Single,2657,0,Yes,3,4,0,5,3,2,2,505,
Kristin Taylor,21,Yes,Travel_Rarely,Sales,12,3,Life Sciences,494,3,Female,4,Sales Representative,2,Single,2716,1,No,3,4,0,0,3,1,0,613,2021-02-13
Dean Roberson,29,No,Travel_Rarely,Research & Development,23,3,Life Sciences,495,4,Male,3,Research Scientist,4,Single,2201,9,No,3,4,0,4,3,3,1,1516,
Michael Russo,35,No,Travel_Rarely,Research & Development,9,4,Life Sciences,496,3,Male,2,Healthcare Representative,2,Single,6540,9,No,3,3,0,5,3,1,0,1644,
Mitchell Hamilton,27,No,Travel_Rarely,Research & Development,1,2,Medical,497,4,Male,3,Laboratory Technician,2,Divorced,3816,1,No,3,2,1,2,3,5,0,569,
Aaron Hayden,28,No,Travel_Rarely,Sales,9,4,Life Sciences,498,2,Male,3,Sales Executive,4,Single,5253,1,No,3,4,0,1,3,7,0,776,
Mark Pierce,49,No,Travel_Rarely,Research & Development,7,3,Other,499,2,Male,2,Healthcare Representative,3,Single,10965,8,No,4,3,0,2,3,5,0,505,
Rachel Miller,51,No,Travel_Rarely,Sales,14,2,Life Sciences,500,3,Female,3,Sales Executive,4,Married,4936,4,No,3,3,1,2,2,7,0,1267,
Jamie Turner,36,No,Travel_Rarely,Research & Development,2,3,Life Sciences,501,4,Female,3,Research Scientist,3,Married,2543,4,No,3,2,1,3,3,2,2,319,
Christopher Brown,34,Yes,Non-Travel,Sales,19,3,Marketing,502,1,Male,4,Sales Executive,4,Single,5304,8,Yes,3,2,0,3,2,5,0,1029,2023-06-06
Sharon Thompson,55,No,Travel_Rarely,Research & Development,2,3,Life Sciences,505,3,Female,3,Manager,4,Single,16659,2,Yes,3,3,0,2,3,5,1,1074,
Abigail Fisher,24,No,Travel_Rarely,Sales,10,4,Marketing,507,4,Female,3,Sales Executive,3,Divorced,4260,1,Yes,3,4,1,2,4,5,0,1038,
Antonio Campbell,30,No,Travel_Rarely,Sales,2,1,Technical Degree,508,3,Male,3,Sales Representative,2,Married,2476,1,No,3,1,1,3,3,1,0,323,
Shawn Wallace,26,Yes,Travel_Frequently,Research & Development,3,1,Technical Degree,510,3,Male,3,Research Scientist,1,Single,3102,0,No,4,3,0,2,3,6,0,32,2025-12-12
Alexandra Davis,22,No,Travel_Rarely,Research & Development,11,3,Medical,511,1,Female,3,Research Scientist,2,Married,2244,1,No,3,4,1,1,3,2,1,1074,
Andrew Shah,36,No,Travel_Rarely,Sales,2,2,Medical,513,2,Male,2,Sales Executive,3,Married,7596,1,No,3,2,2,2,3,10,9,1938,
Brian Thompson,30,Yes,Travel_Frequently,Research & Development,4,3,Technical Degree,514,3,Male,3,Research Scientist,4,Single,2285,9,Yes,4,3,0,4,3,1,0,259,2023-02-08
Sarah Dyer,37,No,Travel_Rarely,Research & Development,14,3,Life Sciences,515,4,Female,3,Laboratory Technician,1,Divorced,3034,1,No,3,3,1,2,2,18,12,226,
Nicole Klein,40,No,Travel_Rarely,Sales,2,2,Marketing,516,4,Female,3,Sales Executive,2,Divorced,5715,7,No,3,3,2,5,3,5,1,1740,
Amy Ortiz,42,No,Travel_Rarely,Research & Development,1,4,Life Sciences,517,2,Female,3,Laboratory Technician,1,Divorced,2576,3,No,3,2,1,5,3,5,1,428,
Justin Peterson,37,No,Travel_Rarely,Research & Development,10,4,Life Sciences,518,3,Male,3,Manufacturing Director,2,Single,4197,2,Yes,3,4,0,2,2,1,0,1191,
Andrew Smith,43,No,Travel_Rarely,Research & Development,12,3,Life Sciences,520,1,Male,2,Research Director,2,Divorced,14336,1,No,3,3,1,3,3,25,3,505,
Lisa Zhang,40,No,Travel_Rarely,Research & Development,2,3,Medical,521,2,Female,2,Laboratory Technician,3,Married,3448,6,No,4,2,1,3,3,1,0,319,
Todd White,54,No,Travel_Rarely,Research & Development,5,2,Medical,522,1,Male,3,Research Director,1,Married,19406,4,No,3,3,1,4,2,4,1,664,
Amanda Mckenzie,34,No,Non-Travel,Sales,4,4,Marketing,523,3,Female,3,Sales Executive,3,Married,6538,9,No,3,1,1,3,3,3,1,323,
Anna Robinson,31,No,Travel_Rarely,Research & Development,7,2,Medical,524,2,Female,3,Manufacturing Director,1,Married,4306,1,No,3,2,1,5,1,13,3,444,
Christian Knight,43,No,Travel_Frequently,Research & Development,21,3,Medical,525,4,Male,3,Laboratory Technician,4,Married,2258,7,No,4,1,1,1,3,3,1,671,
Shelby Cole,43,No,Travel_Rarely,Research & Development,8,4,Other,526,3,Female,3,Healthcare Representative,3,Divorced,4522,4,Yes,3,4,0,3,3,5,0,546,
Angela Giles,25,No,Travel_Rarely,Sales,4,2,Life Sciences,527,2,Female,2,Sales Executive,4,Single,4487,1,Yes,3,2,0,3,3,5,1,558,
Natalie Russell,37,No,Non-Travel,Research & Development,25,5,Medical,529,2,Female,3,Research Scientist,3,Married,4449,3,Yes,3,1,2,2,3,13,10,976,
Christopher Adams,31,No,Travel_Rarely,Research & Development,1,2,Life Sciences,530,4,Male,2,Laboratory Technician,1,Married,2218,1,No,3,3,1,3,3,4,3,2031,
Darryl Wilkinson,39,No,Travel_Frequently,Research & Development,1,1,Life Sciences,531,2,Male,3,Manager,3,Divorced,19197,1,Yes,3,3,1,3,3,21,1,1215,
Cheryl Reynolds,56,No,Travel_Frequently,Sales,6,3,Life Sciences,532,3,Female,4,Sales Executive,1,Married,13212,9,No,3,4,3,0,2,7,7,1029,
Emily Green,30,No,Travel_Rarely,Sales,12,3,Technical Degree,533,2,Female,3,Sales Executive,3,Single,6577,0,No,3,2,0,6,3,5,4,1676,
Matthew Barnes,41,No,Travel_Rarely,Sales,1,3,Marketing,534,2,Male,4,Sales Executive,1,Married,8392,1,No,3,3,1,2,3,10,0,23,
James Montgomery,28,No,Travel_Rarely,Research & Development,17,2,Medical,536,3,Male,3,Laboratory Technician,1,Divorced,4558,1,No,3,4,1,2,3,10,1,1516,
Tyler Roberts,25,Yes,Travel_Rarely,Research & Development,3,3,Medical,538,1,Male,3,Laboratory Technician,1,Married,4031,5,No,3,3,1,5,3,2,0,2022,2021-07-17
Michael Fischer,52,No,Travel_Rarely,Research & Development,3,3,Medical,543,4,Male,2,Manufacturing Director,3,Married,7969,2,Yes,3,3,0,4,3,5,0,1256,
Brian Carlson,45,Yes,Travel_Rarely,Research & Development,10,2,Life Sciences,544,1,Male,3,Research Scientist,4,Married,2654,3,No,4,4,2,3,2,2,0,549,2023-05-24
Brittany Burton,52,No,Travel_Rarely,Research & Development,4,2,Life Sciences,546,4,Female,3,Manager,4,Married,16555,2,No,3,4,0,2,1,5,1,1516,
Cynthia Wright,42,No,Travel_Frequently,Research & Development,29,2,Life Sciences,547,1,Female,3,Research Scientist,3,Divorced,4556,2,No,3,2,1,3,3,5,0,259,
Amber Ruiz,30,No,Travel_Rarely,Research & Development,2,3,Life Sciences,548,3,Female,1,Manufacturing Director,4,Single,6091,2,No,4,3,0,2,3,5,0,319,
Elizabeth Williams,60,No,Travel_Rarely,Research & Development,7,3,Life Sciences,549,1,Female,3,Manager,1,Married,19566,5,No,3,4,0,5,1,29,11,505,
Katherine Prince,46,No,Travel_Rarely,Research & Development,18,3,Medical,550,3,Female,3,Manufacturing Director,3,Divorced,4810,2,No,3,3,1,5,2,10,0,264,
Melissa Murphy,42,No,Travel_Frequently,Research & Development,28,4,Technical Degree,551,4,Female,2,Healthcare Representative,4,Married,4523,0,No,3,4,3,4,4,6,0,259,
Julie Ward,24,Yes,Travel_Rarely,Sales,1,1,Technical Degree,554,1,Female,3,Sales Representative,2,Single,3202,1,Yes,3,2,0,4,3,5,1,1824,2023-06-25
Lauren Williams,34,Yes,Travel_Frequently,Sales,6,2,Marketing,555,4,Female,1,Sales Representative,3,Divorced,2351,0,No,3,4,1,3,2,2,1,473,2023-09-21
Jacob Parker,38,No,Travel_Frequently,Research & Development,2,2,Life Sciences,556,4,Male,3,Laboratory Technician,4,Married,1702,1,Yes,4,3,1,3,3,1,0,531,
Jennifer Ayala,40,No,Travel_Rarely,Sales,2,4,Life Sciences,558,3,Female,3,Manager,3,Married,18041,0,No,3,4,0,2,3,20,1,992,
Kristin Blankenship,26,No,Travel_Rarely,Research & Development,23,3,Life Sciences,560,1,Female,3,Research Scientist,4,Divorced,2886,1,No,4,2,2,3,1,3,0,1307,
Raymond Tran,30,No,Non-Travel,Research & Development,3,3,Life Sciences,562,3,Male,3,Laboratory Technician,4,Married,2097,4,No,3,3,1,3,1,5,1,428,
John Brooks,29,No,Travel_Rarely,Research & Development,3,4,Medical,564,2,Male,2,Research Director,3,Married,11935,1,No,3,3,0,2,3,10,0,1644,
Stephanie Elliott,29,Yes,Travel_Rarely,Research & Development,25,5,Technical Degree,565,3,Female,2,Research Scientist,2,Married,2546,5,No,3,2,0,2,4,2,1,582,2023-09-07
Thomas Daniel,19,Yes,Travel_Rarely,Human Resources,2,2,Technical Degree,566,1,Male,2,Human Resources,4,Single,2564,1,No,3,3,0,3,4,1,0,731,2023-06-24
Heather Gates,30,No,Non-Travel,Sales,22,4,Other,567,3,Female,3,Sales Executive,1,Married,8412,0,No,3,3,0,3,3,9,7,851,
Timothy Brown,57,No,Travel_Rarely,Sales,29,3,Marketing,568,1,Male,2,Manager,4,Divorced,14118,3,No,3,3,1,3,2,1,0,1602,
Daniel Martinez,50,No,Travel_Rarely,Research & Development,29,4,Life Sciences,569,2,Male,2,Manager,3,Married,17046,0,No,3,2,1,2,3,27,15,1116,
Hannah Foley,30,No,Non-Travel,Research & Development,2,3,Medical,571,3,Female,3,Laboratory Technician,4,Single,2564,0,No,3,3,0,2,2,11,6,505,
Evelyn Mcdonald,60,No,Travel_Frequently,Sales,28,3,Marketing,573,3,Female,2,Sales Executive,1,Married,10266,4,No,3,4,0,5,4,18,13,298,
Mary Hartman,47,No,Travel_Rarely,Research & Development,2,2,Medical,574,1,Female,3,Manufacturing Director,4,Divorced,5070,5,No,3,3,3,2,3,5,0,253,
Matthew Waters,46,No,Travel_Rarely,Research & Development,2,3,Life Sciences,575,1,Male,3,Research Director,3,Married,17861,6,No,3,3,0,2,1,3,0,1334,
James Baxter,35,No,Travel_Rarely,Research & Development,22,3,Life Sciences,577,4,Male,1,Laboratory Technician,3,Single,4230,0,No,3,3,0,2,3,5,4,905,
Lori Stephens,54,No,Travel_Rarely,Research & Development,8,4,Life Sciences,578,3,Female,3,Laboratory Technician,3,Single,3780,7,No,3,3,0,3,3,1,0,2031,
Christopher Jones,34,No,Travel_Rarely,Research & Development,2,4,Life Sciences,579,4,Male,2,Research Scientist,3,Divorced,2768,3,No,3,3,1,3,3,7,5,531,
Brittany Smith,46,No,Travel_Rarely,Sales,10,3,Marketing,580,3,Female,2,Sales Executive,4,Married,9071,2,Yes,3,3,1,3,3,3,1,158,
William Sampson,31,No,Travel_Rarely,Research & Development,9,1,Life Sciences,581,3,Male,3,Manufacturing Director,2,Divorced,10648,1,No,4,4,1,6,4,13,0,32,
Jose Patel,33,Yes,Travel_Rarely,Research & Development,15,1,Medical,582,2,Male,3,Manager,3,Married,13610,7,Yes,3,4,0,2,4,7,7,582,2020-04-04
Brent Marshall,33,Yes,Travel_Rarely,Research & Development,10,1,Medical,584,1,Male,1,Laboratory Technician,4,Divorced,3408,7,No,3,1,3,2,3,4,1,1866,2023-04-06
Austin Watson,30,No,Travel_Rarely,Sales,7,1,Marketing,585,4,Male,3,Sales Representative,2,Single,2983,0,No,3,1,0,3,3,3,1,410,
Michael Miranda,35,No,Travel_Rarely,Research & Development,16,3,Life Sciences,586,4,Male,3,Healthcare Representative,3,Married,7632,4,Yes,3,3,0,2,3,8,0,1334,
Jared Ray,31,Yes,Travel_Frequently,Research & Development,20,3,Life Sciences,587,1,Male,3,Healthcare Representative,3,Married,9824,3,No,3,1,0,2,3,1,0,505,2021-11-03
Abigail Meza,34,Yes,Travel_Frequently,Human Resources,23,3,Human Resources,590,2,Female,3,Human Resources,1,Divorced,9950,9,Yes,3,3,3,2,3,3,0,644,2023-11-16
Matthew Jones,42,No,Travel_Frequently,Research & Development,5,2,Other,591,2,Male,3,Laboratory Technician,3,Married,2093,4,No,3,4,1,4,3,2,2,1677,
Timothy Peterson,36,No,Non-Travel,Sales,10,4,Medical,592,2,Male,3,Sales Executive,4,Single,9980,1,No,3,4,0,3,2,10,9,1282,
Samuel Sullivan,22,Yes,Travel_Frequently,Research & Development,4,1,Technical Degree,593,3,Male,2,Laboratory Technician,3,Single,3894,5,No,3,3,0,3,3,2,1,1256,2021-10-25
Ashley Wagner,48,No,Travel_Rarely,Sales,2,5,Marketing,595,2,Female,3,Sales Executive,4,Married,4051,2,No,3,1,1,2,3,9,6,1280,
Nicole Costa,55,No,Travel_Rarely,Sales,18,5,Life Sciences,597,1,Female,3,Manager,2,Single,16835,3,No,4,4,0,2,3,10,7,1824,
Garrett Peterson,41,No,Non-Travel,Sales,10,2,Life Sciences,599,4,Male,3,Sales Executive,4,Single,6230,7,No,3,4,0,3,3,14,1,23,
Charles Buckley,35,No,Travel_Rarely,Sales,1,3,Marketing,600,2,Male,3,Sales Executive,3,Married,4717,9,No,3,3,0,2,3,11,6,363,
Sandra Cook,40,No,Travel_Rarely,Research & Development,6,3,Life Sciences,601,2,Female,3,Manufacturing Director,3,Single,13237,7,No,3,3,0,3,3,20,5,226,
Jacqueline Edwards,39,No,Travel_Frequently,Research & Development,8,1,Life Sciences,602,3,Female,3,Laboratory Technician,3,Married,3755,1,No,3,1,1,3,3,8,0,1595,
Thomas Benson,31,No,Travel_Rarely,Sales,2,1,Life Sciences,604,2,Male,3,Sales Executive,4,Single,6582,4,Yes,3,3,0,2,4,6,0,473,
Nicholas Roberts,42,No,Travel_Rarely,Research & Development,24,3,Medical,605,4,Male,3,Manufacturing Director,1,Married,7406,1,Yes,4,4,1,5,2,10,5,1215,
Jason Ross,45,No,Travel_Rarely,Sales,2,3,Other,606,4,Male,3,Sales Executive,2,Married,4805,0,No,3,2,1,3,4,8,3,158,
Lisa Hawkins,26,Yes,Travel_Frequently,Human Resources,17,4,Life Sciences,608,2,Female,3,Human Resources,3,Divorced,2741,0,Yes,3,2,1,2,2,7,1,1338,2021-11-19
Joel Ross,29,No,Travel_Rarely,Research & Development,19,3,Technical Degree,611,4,Male,3,Manufacturing Director,4,Divorced,4262,4,No,3,2,2,2,4,3,1,1306,
Laurie Robinson,33,No,Travel_Rarely,Research & Development,1,5,Medical,612,1,Female,4,Research Director,3,Divorced,16184,4,No,3,3,1,2,3,6,0,1256,
Taylor Bennett,31,No,Travel_Rarely,Sales,7,3,Life Sciences,613,3,Male,2,Manager,4,Divorced,11557,9,No,4,3,1,3,2,5,0,473,
Albert Martin,18,Yes,Travel_Frequently,Sales,5,3,Marketing,614,2,Male,3,Sales Representative,2,Single,1878,1,Yes,3,4,0,3,3,0,0,1280,2021-10-11
Michael Brown,40,No,Non-Travel,Sales,28,3,Other,615,3,Male,1,Sales Executive,1,Divorced,10932,3,No,3,3,1,2,3,1,0,410,
Amanda Morris,41,No,Non-Travel,Research & Development,2,4,Other,616,1,Female,2,Healthcare Representative,3,Single,6811,2,Yes,3,1,0,3,3,8,0,153,
Anthony Douglas,26,No,Travel_Rarely,Sales,29,2,Medical,618,1,Male,3,Sales Executive,3,Divorced,4306,5,No,3,1,2,5,3,0,0,1029,
Deanna Wilkinson,35,No,Travel_Rarely,Sales,1,3,Medical,620,1,Female,3,Sales Executive,3,Single,4859,1,No,3,4,0,3,3,5,0,1124,
Daniel Gill,34,No,Travel_Rarely,Sales,21,4,Life Sciences,621,4,Male,4,Sales Executive,4,Single,5337,1,No,3,4,0,3,3,10,5,158,
Jeffrey Davies,26,Yes,Travel_Rarely,Research & Development,24,3,Technical Degree,622,3,Male,1,Laboratory Technician,4,Single,2340,1,Yes,3,2,0,3,1,1,0,664,2023-03-15
Judith Cooper,37,No,Travel_Rarely,Research & Development,1,3,Technical Degree,623,2,Female,3,Manufacturing Director,4,Single,7491,4,No,3,4,0,3,4,6,1,428,
Sydney Mullins,46,No,Travel_Frequently,Research & Development,18,1,Medical,624,1,Female,3,Healthcare Representative,3,Married,10527,5,No,3,4,0,3,2,2,1,1520,
Heather Ford,41,No,Travel_Rarely,Sales,2,5,Life Sciences,625,2,Female,3,Manager,1,Married,16595,7,No,3,2,1,2,3,18,11,776,
Jeffrey Stephens,37,No,Non-Travel,Sales,9,4,Medical,626,1,Male,3,Sales Executive,2,Divorced,8834,1,No,3,4,1,6,3,9,7,329,
Raymond Mullins,52,No,Travel_Rarely,Research & Development,6,2,Technical Degree,630,4,Male,3,Research Scientist,1,Divorced,5577,3,Yes,3,2,2,3,3,10,6,664,
Henry Cole,32,Yes,Non-Travel,Sales,11,4,Other,631,4,Male,4,Sales Executive,3,Married,4707,8,No,3,4,0,2,3,4,1,1824,2023-08-21
Charles Edwards,24,No,Travel_Frequently,Sales,24,3,Medical,632,4,Male,3,Sales Representative,4,Married,2400,0,No,3,3,2,3,3,2,2,1277,
Nicole Dudley,38,No,Travel_Rarely,Research & Development,10,3,Medical,634,3,Female,3,Healthcare Representative,3,Married,9824,3,No,3,3,1,4,3,1,0,1321,
Heather Nichols,37,No,Travel_Rarely,Research & Development,1,4,Life Sciences,635,2,Female,3,Manufacturing Director,2,Married,6447,6,No,3,2,1,2,2,6,4,1677,
Justin Baker,49,No,Travel_Rarely,Research & Development,18,4,Life Sciences,638,4,Male,2,Research Director,3,Divorced,19502,1,Yes,3,3,1,5,3,31,0,336,
Henry Stewart,24,No,Travel_Rarely,Research & Development,23,3,Medical,639,2,Male,4,Research Scientist,4,Married,2725,1,Yes,3,2,2,3,3,6,1,444,
Paul Ortiz,26,No,Travel_Rarely,Sales,28,2,Marketing,641,1,Male,3,Sales Executive,2,Married,6272,1,No,4,4,2,5,4,5,1,558,
Robert Caldwell,24,No,Travel_Rarely,Research & Development,17,2,Other,643,4,Male,2,Laboratory Technician,2,Married,2127,1,No,4,4,1,2,3,1,0,1900,
Jason Scott,50,No,Travel_Frequently,Human Resources,3,3,Medical,644,1,Male,3,Manager,2,Married,18200,1,No,3,3,1,2,3,32,10,644,
Daniel Olson,25,No,Travel_Rarely,Sales,13,1,Medical,645,2,Male,3,Sales Representative,3,Married,2096,1,No,3,3,0,1,3,7,0,1277,
Amy Bass,24,Yes,Travel_Frequently,Research & Development,7,3,Life Sciences,647,1,Female,3,Laboratory Technician,3,Married,2886,1,Yes,3,4,1,4,3,6,1,84,2023-05-19
Joseph Rogers,30,Yes,Travel_Frequently,Sales,12,4,Life Sciences,648,2,Male,2,Sales Representative,1,Married,2033,1,No,3,3,1,2,4,1,0,568,2023-09-03
Erik May,34,No,Travel_Rarely,Research & Development,1,2,Life Sciences,649,2,Male,2,Research Scientist,4,Married,3622,1,Yes,3,4,1,3,3,6,1,1677,
Gabriel Garcia,31,Yes,Travel_Rarely,Sales,13,4,Medical,650,2,Male,3,Sales Executive,1,Divorced,4233,2,No,3,3,0,2,1,3,1,1045,2023-08-02
Sean Schultz,35,No,Travel_Rarely,Research & Development,25,2,Other,652,1,Male,2,Laboratory Technician,4,Single,3681,4,No,3,4,0,3,3,3,0,1892,
James Miller,31,No,Travel_Rarely,Sales,6,4,Medical,653,1,Male,4,Sales Executive,4,Divorced,5460,4,No,4,4,2,4,4,7,5,1277,
Darlene Aguilar,27,No,Travel_Rarely,Research & Development,6,4,Medical,655,1,Female,2,Research Scientist,3,Divorced,2187,0,No,3,3,2,5,2,5,0,1900,
Juan Kelley,37,No,Travel_Rarely,Sales,2,3,Marketing,656,4,Male,3,Sales Executive,3,Married,9602,4,Yes,3,3,1,3,2,3,1,776,
Lauren Hubbard,20,No,Travel_Rarely,Research & Development,1,3,Life Sciences,657,4,Female,2,Research Scientist,2,Single,2836,1,No,3,4,0,0,4,1,0,531,
Jenna Ramirez,42,No,Travel_Rarely,Research & Development,2,4,Life Sciences,659,3,Female,3,Healthcare Representative,4,Married,4089,1,No,3,2,2,4,3,10,2,374,
Ricky Ramirez,43,No,Travel_Rarely,Research & Development,6,4,Other,661,2,Male,2,Research Director,4,Divorced,16627,4,Yes,3,3,1,3,2,1,0,1892,
Alyssa Valenzuela,38,No,Travel_Rarely,Research & Development,1,1,Life Sciences,662,3,Female,3,Research Scientist,1,Single,2619,3,No,3,4,0,3,2,0,0,1595,
Martin Russell,43,No,Travel_Frequently,Research & Development,9,5,Medical,663,4,Male,3,Laboratory Technician,3,Divorced,5679,3,Yes,3,2,1,3,3,8,4,259,
